author_id,author_name,author_url
13317,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,https://www.rokomari.com/book/author/13317
129284,সালমা চৌধুরী,https://www.rokomari.com/book/author/129284
36295,ব্যতিক্রম প্রকাশনীর সম্পাদনা পরিষদ,https://www.rokomari.com/book/author/36295
41190,মাহিন মাহমুদ,https://www.rokomari.com/book/author/41190
5659,মোশতাক আহমেদ,https://www.rokomari.com/book/author/5659
27971,আল ফাতাহ পাবলিকেশন্স,https://www.rokomari.com/book/author/27971
26953,অজয় সরকার,https://www.rokomari.com/book/author/26953
2210,পাওলো কোয়েলহো,https://www.rokomari.com/book/author/2210
11854,মুফাক্কিরে ইসলাম হযরত মাওলানা সাইয়্যিদ আবুল হাসান আলী নদভী রহ.,https://www.rokomari.com/book/author/11854
33554,আল্লামা ইবনে কাছীর (রহ.),https://www.rokomari.com/book/author/33554
78635,শরীফ মুহাম্মাদ ইউনুস,https://www.rokomari.com/book/author/78635
76301,ওয়াহিদ তুষার,https://www.rokomari.com/book/author/76301
3595,এস. এম. জাকির হুসাইন,https://www.rokomari.com/book/author/3595
58719,মোহাম্মাদ জাকারিয়া মাসুদ,https://www.rokomari.com/book/author/58719
26264,মুসা আল হাফিজ,https://www.rokomari.com/book/author/26264
93406,সবুজ আহম্মদ মুরসালিন,https://www.rokomari.com/book/author/93406
15559,মুহাম্মদ আসাদুল্লাহ আল-গালিব,https://www.rokomari.com/book/author/15559
8325,ডেল কার্নেগী,https://www.rokomari.com/book/author/8325
13582,মাওলানা মুহাম্মাদ আবদুল মালেক,https://www.rokomari.com/book/author/13582
91346,প্রফেসর’স সম্পাদনা পরিষদ,https://www.rokomari.com/book/author/91346
3298,সৈয়দ মুজতবা আলী,https://www.rokomari.com/book/author/3298
30813,ব্রায়ান ট্রেসি,https://www.rokomari.com/book/author/30813
25886,কিশোর আলো,https://www.rokomari.com/book/author/25886
20922,প্রবর রিপন,https://www.rokomari.com/book/author/20922
80483,মার্ক অনুপম মল্লিক,https://www.rokomari.com/book/author/80483
124906,জুন্নুরাইন খান,https://www.rokomari.com/book/author/124906
42137,মেন্টর্স এডুকেশন সিরিজ,https://www.rokomari.com/book/author/42137
610,মানিক বন্দ্যোপাধ্যায়,https://www.rokomari.com/book/author/610
27688,ইসলামিয়া কুতুবখানা,https://www.rokomari.com/book/author/27688
84948,সমকালীন সংকলন টিম,https://www.rokomari.com/book/author/84948
2341,জীবনানন্দ দাশ,https://www.rokomari.com/book/author/2341
8549,ড্যান ব্রাউন,https://www.rokomari.com/book/author/8549
117386,টিম বিজ্ঞান ক্লাস,https://www.rokomari.com/book/author/117386
9392,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র),https://www.rokomari.com/book/author/9392
41834,কেইগো হিগাশিনো,https://www.rokomari.com/book/author/41834
4658,শাহরিয়ার,https://www.rokomari.com/book/author/4658
13210,আল্লামা মুহাম্মদ নাসীরুদ্দীন আলবানী (রহঃ),https://www.rokomari.com/book/author/13210
6868,আবুল আসাদ,https://www.rokomari.com/book/author/6868
8011,ইসলামিক ফাউন্ডেশন বাংলাদেশ,https://www.rokomari.com/book/author/8011
84975,ড. মোহাম্মদ সরোয়ার হোসেন,https://www.rokomari.com/book/author/84975
